19.1.1	doṣo gāya bṛhad gāya dyumad gāyātharvaṇa | stuhi devaṃ savitāram ||
19.1.2	tam u stuhy antaḥsindhuṃ sūnuṃ satyasya yuvānam | adroghavācaṃ suśevam ||
19.1.3	sa ghā no devaḥ savitā- -āsāviṣad vasupatir vasūni | ubhe suṣṭutī sugātum ||
19.1.4	indrāya somam ṛtvijaḥ sunotanā ca dhāvata | stotur yo havaṃ śṛṇavad dhavaṃ ca naḥ ||
19.1.5	sunotā somapāvne somam indrāya vajriṇe | yuvā jeteśānaḥ sa puruṣṭutaḥ ||
19.1.6	ā tvā viśantv indavo vayo na vṛkṣam andhasaḥ | virapśin vi mṛdho jahi rakṣasvinīḥ ||
19.1.7	āre asāv asmad astu hetir devāso asat | āre martānām aśastiḥ ||
19.1.8	sakhaiva no rātir astu sakhendraḥ sakhā savitā | sakhā bhagaḥ satyadharmā no astu ||
19.1.9	abhi no devīr avasā mahāśarmaṇā nṛpatnīḥ | acchinnapatrāḥ sacantām ||
19.1.10	īḍe agniṃ bhavaṃ sarvaṃ rakṣa ubjad ahiṃ balāsam uta sedim ugrām | āre asmad adite daivyaṃ bhayaṃ suvīryaṃ marutaḥ śarma yacchata ||
19.1.11	īḍe dyāvāpṛthivī parvatām̐ apaḥ svaḥ sūryam urv antarikṣam | vanaspatīn oṣadhīr gā uta rca ṛtasya naḥ patayo mṛḍayantu ||
19.1.12	huve viṣṇuṃ pūṣaṇaṃ brahmaṇaspatiṃ bhagaṃ nu śaṃsaṃ savitāram ūtaye | iha somo varuṇo vāyur agnir bhaga ugrā avase no gamantu ||
19.1.13	pātaṃ na indrāpūṣaṇā varuṇaḥ pāntu marutaḥ | apāṃ napāt sindhavaḥ sapta pātana pātu viṣṇur uta dyauḥ ||
19.1.14	pātāṃ no dyāvāpṛthivī abhiṣṭaye pātu grāvā pātu somo no aṃhasaḥ | pātu no devī suhavā sarasvatī pātv agnir ye śivā asya pāyavaḥ ||
19.1.15	pātāṃ no devāśvinā sudaṃsasā- -uṣāsānaktota na uruṣyatām | apāṃ napād avihrutī kayasya cid devo mūrdhann adite śarma yaccha naḥ ||
19.2.1	tvaṣṭā me daivyaṃ vacaḥ parjanyo brahmaṇaspatiḥ | putrair bhrātṛbhir aditir nu pātu no duṣṭaraṃ trāmaṇe śavaḥ ||
19.2.2	aṃśo bhago varuṇo mitro aryamā- -aditiḥ pātv aṃhasaḥ | apa tasya dveṣo gamed avihruto yāvayāc chatrum ?anti tam? ||
19.2.3	deva tvaṣṭar vardhaya sarvatātaye dhiye sam u śriye prāvatān naḥ | uruṣyā ṇa urutarāprayucchan dyauṣ pitar yāvaya ducchunām itaḥ ||
19.2.4	ye no vacobhir uta daṃsanābhis tanvaṃ soma paritāpayante | nīcais tān vṛśca na yathā virukṣan mā te dṛśan sūryam uccarantam ||
19.2.5	tvayeṣvā tvayā soma dhanvanā tvayā muṣṭighnā śāśadmahe vayam | tvaṃ tān vṛśca ya idaṃ na ?ādṛśākaran? hanāma daṇḍair uta daṃsanābhiḥ ||
19.2.6	padena tān padanyo nayantu vadhair enān pitaro daṃsayantu | yathā na jīvāt katamaś canaiṣām ||
19.2.7	yena somāditiḥ pathā mitrā vā yanty adruhaḥ | tenā no 'vitā bhuvaḥ ||
19.2.8	yo naḥ soma suśaṃsino duḥśaṃso abhidāsati | vajreṇāsya mukhe jahi sa saṃpiṣṭo apāyati ||
19.2.9	yo naḥ somābhidāsati sanābhir yaś ca niṣṭiyaḥ | apa tasya balaṃ tira mahīva dyaur vadha tmanā ||
